"№ п/п, № Отчета","Наименование объекта","Адрес объекта","Цель испытаний","Дата выполнения работ","Исполнители работ","Наименование заказчика",Электроустановка,"Среднее время заполнения линии (минуты)","Количество щитов","Наличие цепи: кол-во точек","Сопротивление изоляции: кол-во линий","Фаза-нуль: количество линий","УЗО: Количество УЗО","Автоматы: Количество Автоматов","Заземлителей: Кол-во ЗУ","Молниезащита: Кол-во МЗ","Затраченное время общее (минуты)","Затраченное время Планшетное (минуты)","Затраченное время Вебверсия (минуты)","Затраченное эффективное время общее (минуты)","Затраченное эффективное время Планшетное (минуты)","Затраченное эффективное время Вебверсия (минуты)","Среднее время межу щитами общее (минуты)","Среднее время межу щитами Планшетное (минуты)","Среднее время межу щитами Вебверсия (минуты)","Время старта","Время окончания",Инженер
Тестовый,"Офисные и складские помещения","г. Москва, ул. Магистральная 3-я , д. 12, стр. 1",Эксплуатационные,2021-04-10,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ООО «ДельтаСтройПроект»","Старая - Удовлетворительно",0.0017574692442882,70,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,"2021-04-20 10:45","2021-04-21 07:45",KozhinDev
"Тест подписей","Жилое помещение","Красноярск ул. Нагорная 12-121",Эксплуатационные,2021-04-08,"Рязанов А.В., Еселевский И.А., Аксенов С.А., Винтер Мария, Алексей Рязанов, Аксенов Сергей","ЖСК ""Луч""","Новая - Удовлетворительно",0.038461538461538,5,128,20,13,9,12,3,3,1,-,1,1,-,1,-,-,-,"2021-05-18 07:24","2021-05-18 09:38",KozhinDev
"13.05.21-10.1 (копия)",Школа,"Московская область, г. Дзержинский, ул. Спортивная, д. 1а",Эксплуатационные,2021-05-13,"Рязанов А.В., Кучерявых П.М., Аксенов С.А.","МБОУ СОШ №1","Новая - Удовлетворительно",-,17,211,116,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KozhinDev
"Очередной тестовый",Квартира,"Красноярск Ленина 13",Эксплуатационные,2021-06-03,"Алексей Рязанов, Кузин Артем","Индивидуальный предприниматель Недильский Иван Романович","Новая - Удовлетворительно",-,0,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,"2021-06-03 10:07","2021-06-03 10:08",KozhinDev
"Тест геолокации",,Йй,,2021-06-09,"Алексей Рязанов, Аксенов Сергей",," - ",1,1,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,"2021-06-09 13:18","2021-06-09 13:20",KozhinDev
1,Неопознанный,"ул Пушкина, дом Колотушкина",Эксплуатационные,2021-07-20,"Иванов И.И., Аксенов С.А., Бунин А.В.","ООО""ДЕЛО 777""","Новая - Удовлетворительно",0.15789473684211,1,-,-,-,-,-,-,-,6,-,6,6,-,6,-,-,-,"2021-07-20 03:12","2021-07-20 03:19",KozhinDev
Й,,Й,Эксплуатационные,2021-07-20,"Иванов И.И.",," - ",-,1,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,"2021-07-20 10:31","2021-07-20 10:32",KozhinDev
R,Gf,Gc,,2021-07-23,"Иванов И.И.",," - ",-,1,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,"2021-07-23 08:15","2021-07-23 08:15",KozhinDev
"23.07.2021 - 1",Неопознанный,"ул Пушкина, дом Колотушкина",Приёмо-сдаточные,2021-07-23,"Иванов И.И., Аксенов С.А.","ООО""ДЕЛО 777""","Новая - Удовлетворительно",0.2258064516129,1,10,1,1,2,2,-,-,7,-,7,7,-,7,-,-,-,"2021-07-23 09:09","2021-07-23 09:17",KozhinDev
1488,Неопознанный,"ул Пушкина, дом Колотушкина",Приёмо-сдаточные,2021-07-26,"Аксенов С.А., Иванов И.И., Рязанов А.В., Бунин А.В.","ООО""ДЕЛО 777""","Новая - Удовлетворительно",2.3333333333333,1,0,2,2,2,3,0,-,7,-,7,7,-,7,-,-,-,"2021-07-26 05:37","2021-07-26 06:27",KozhinDev
1,Неопознанный,"ул Пушкина, дом Колотушкина",Эксплуатационные,2021-09-16,"Аксенов С.А., Иванов И.И., Травин Е.В.","ООО""ДЕЛО 777""","Новая - Удовлетворительно",15.2,1,25,3,1,2,3,0,-,22653,-,22653,76,-,76,778.51724137931,-,778.51724137931,"2021-09-16 08:51","2021-10-02 02:27",KozhinDev
1,Неопознанный,"ул Пушкина, дом Колотушкина",Приёмо-сдаточные,2021-09-29,"Аксенов С.А., Иванов И.И.",,"Новая - Удовлетворительно",1,1,0,1,1,1,-,-,-,1,-,1,1,-,1,-,-,-,"2021-09-28 07:21","2021-09-28 07:28",KozhinDev
1,Неопознанный,1,,2021-10-17,"Иванов И.И., Бунин А.В.","ООО «ТЕТА»"," - ",1,1,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,"2021-10-17 10:38","2021-11-01 03:58",KozhinDev
Ger12,,Address,Эксплуатационные,2021-11-12,"Иванов И.И., Рязанов А.В.","ООО «ТЕТА»"," - ",-,0,-,-,-,-,0,-,-,1,1,-,1,1,-,-,-,-,"2021-11-12 04:29","2021-11-12 04:40",KozhinDev
1,,1,,2021-11-16,"Рязанов А.В.",," - ",-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-11-16 08:18","2021-11-16 08:18",KozhinDev
11111,,13,,2021-11-25,"Рязанов А.В.",," - ",-,0,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,"2021-11-25 04:32","2021-11-25 04:34",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-16,"Иванов И.И.","ООО «ТЕТА»"," - ",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-16 08:04","2021-12-16 08:04",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-16,"Иванов И.И.","ООО «ТЕТА»"," - ",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-16 08:08","2021-12-16 08:08",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-17,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-17 07:34","2021-12-17 07:34",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-17,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-17 07:37","2021-12-17 07:37",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-17,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-17 07:51","2021-12-17 07:51",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-19,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-19 14:59","2021-12-19 14:59",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-19,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-19 15:09","2021-12-19 15:09",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-19,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-19 15:14","2021-12-19 15:14",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-19,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-19 15:17","2021-12-19 15:17",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-19,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-19 15:20","2021-12-19 15:20",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-19,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-19 15:24","2021-12-19 15:24",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-19,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-19 15:29","2021-12-19 15:29",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-19,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-19 15:32","2021-12-19 15:32",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-19,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-19 15:35","2021-12-19 15:35",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-19,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-19 15:59","2021-12-19 15:59",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-19,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-19 16:11","2021-12-19 16:11",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-19,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-19 16:19","2021-12-19 16:19",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-19,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-19 16:22","2021-12-19 16:22",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-20,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-20 04:26","2021-12-20 04:26",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-20,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-20 04:30","2021-12-20 04:30",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-20,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-20 04:34","2021-12-20 04:34",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-20,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-20 04:38","2021-12-20 04:38",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-20,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-20 04:40","2021-12-20 04:40",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-20,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-20 04:44","2021-12-20 04:44",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-20,"Иванов И.И., Рязанов А.В.","ООО «ТЕТА»","Новая - Удовлетворительно",3.5,1,-,2,-,-,-,-,-,7,1,6,7,1,6,-,-,-,"2021-12-20 05:42","2021-12-20 07:35",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-20,"Иванов И.И., Рязанов А.В.","ООО «ТЕТА»","Новая - Удовлетворительно",2.5,1,-,2,-,-,-,-,-,5,-,5,5,-,5,-,-,-,"2021-12-20 08:43","2021-12-20 08:47",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-20,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-20 11:54","2021-12-20 11:54",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-20,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-20 11:58","2021-12-20 11:58",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-20,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-20 12:06","2021-12-20 12:06",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-20,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-20 12:15","2021-12-20 12:15",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-20,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-20 12:18","2021-12-20 12:18",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-20,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-20 13:49","2021-12-20 13:49",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-20,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-20 13:57","2021-12-20 13:57",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-20,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-20 14:00","2021-12-20 14:00",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-20,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-20 14:06","2021-12-20 14:06",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-20,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-20 14:11","2021-12-20 14:11",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-20,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,1,-,0,-,-,-,-,-,4,4,-,4,4,-,-,-,-,"2021-12-20 14:16","2021-12-20 14:20",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-20,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,1,-,0,-,-,-,-,-,2,2,-,2,2,-,-,-,-,"2021-12-20 14:23","2021-12-20 14:24",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-21,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-21 05:07","2021-12-21 05:07",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-21,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,1,-,0,-,-,-,-,-,2,2,-,2,2,-,-,-,-,"2021-12-21 05:12","2021-12-21 05:13",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-21,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-12-21 05:35","2021-12-21 05:35",KozhinDev
NormalName,"Тестовый щиток",Address1,Эксплуатационные,2021-12-21,"Иванов И.И.","ООО «ТЕТА»","Новая - Удовлетворительно",-,1,-,0,-,-,-,-,-,2,2,-,2,2,-,-,-,-,"2021-12-21 05:38","2021-12-21 05:39",KozhinDev
1,,1,,2022-01-10,"Иванов И.И.","ООО «ДМУ»"," - ",-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2022-01-10 05:57","2022-01-10 05:57",KozhinDev
1,Неопознанный,"ул Пушкина, дом Колотушкина",Эксплуатационные,2022-01-13,"Иванов И.И., Аксенов С.А.","ООО «ТЕТА»"," - ",-,0,0,0,0,0,0,-,-,1,-,1,1,-,1,-,-,-,"2022-01-13 08:57","2022-01-13 08:59",KozhinDev
15.02.21,Офис,Москва,Приёмо-сдаточные,2021-02-25,"Рязанов А.В., Еселевский И.А., Бунин А.В., , Рязанов А.В., Еселевский И.А., Аксенов С.А., Доплер А.Э., , Рязанов А.В., Лопатин И.А., Кучерявых П.М., Кучерявых П.М., Доплер А.Э., Рязанов А.В.","ООО ""Атлантис""","Новая - Удовлетворительно",6.0952380952381,2,172,15,12,3,12,1,1,366263,640,365623,128,62,66,19262.072874494,22.230769230769,19239.842105263,"2021-02-25 09:14","2021-12-03 12:20","совместный отчет"
00.00.00-00,Шаблон,Шаблон,Эксплуатационные,2021-06-24,"Рязанов А.В., Рязанов А.В., Травин Е.В.",Шаблон,"Новая - Удовлетворительно",5,1,5,1,1,1,1,1,1,5,-,5,5,-,5,-,-,-,"2021-06-24 07:57","2021-06-30 16:25","Алексей Рязанов"
11,11,11,Эксплуатационные,2021-06-24,"Байнов С.А., Бунин А.В., Рязанов А.В.",11,"Новая - Удовлетворительно",-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,"2021-06-30 17:52","2021-06-30 17:52","Алексей Рязанов"
